Subgroup,Outcome,Model,Type,lag0,lag1,lag2,lag3,lag4,lag5,lag6,lag7
Medicaid,SMM,GLM,matRRlow,0.988901021,0.643624232,0.936527004,0.803596903,0.995489709,0.845879599,0.898470957,0.882606391
Medicaid,SMM,GLM,matRRhigh,1.324769604,0.901469873,1.280161524,1.095798568,1.349019857,1.153652442,1.238501951,1.170120902
Commercial,GDM,GLM,matRRfit,1.001297055,0.871724268,1.088262,0.987873573,0.908776095,1.075939222,0.91702236,1.013598951
Commercial,GDM,GLM,matRRlow,0.916663679,0.788600717,0.990757493,0.900390331,0.827848636,0.97932212,0.83052542,0.92941547
Commercial,GDM,GLM,matRRhigh,1.093744428,0.963609571,1.195362327,1.083856816,0.997614727,1.18208829,1.012527719,1.105407501
Commercial,PTB,GLM,matRRfit,1.06566196,0.908286796,1.10615955,0.949249138,0.977404324,1.055107613,1.025274679,0.966723218
Commercial,PTB,GLM,matRRlow,0.978738801,0.824403689,1.009737747,0.86722823,0.893025437,0.962705862,0.931779364,0.888186888
Commercial,PTB,GLM,matRRhigh,1.160304887,1.000705012,1.211788857,1.039027437,1.06975588,1.156378204,1.128151372,1.052203982
Commercial,HDP,GLM,matRRfit,0.991824886,0.990970691,1.077393466,1.020528764,0.881921115,1.082407382,0.976455685,1.01751414
Commercial,HDP,GLM,matRRlow,0.919282677,0.909554189,0.992851516,0.941663503,0.813006028,0.996853717,0.89583031,0.943362886
Commercial,HDP,GLM,matRRhigh,1.070091527,1.079674991,1.169134217,1.10599907,0.956677842,1.175303579,1.064337403,1.097493913
Commercial,SMI,GLM,matRRfit,0.288611812,2.754762417,0.861668575,0.551341524,0.604815395,1.826225141,1.085785156,0.222850213
Commercial,SMI,GLM,matRRlow,0.230616012,2.277250892,0.683270582,0.428797611,0.470678963,1.455111671,0.850984466,0.165167691
Commercial,SMI,GLM,matRRhigh,0.361192517,3.332402239,1.086645251,0.708906644,0.777178696,2.291987848,1.385371241,0.300677556
Commercial,PMAD,GLM,matRRfit,1.007876698,1.066875792,1.004586038,1.064279817,0.926652621,0.971437608,0.951679267,1.071407351
Commercial,PMAD,GLM,matRRlow,0.91349436,0.954089984,0.901508497,0.957241321,0.832103914,0.869760729,0.847656586,0.968991702
Commercial,PMAD,GLM,matRRhigh,1.11201063,1.192994346,1.119449359,1.183287332,1.031944527,1.085000729,1.068467398,1.184647618
Commercial,MDP,GLM,matRRfit,1.018568834,1.06016273,0.96823539,1.081794101,0.936955813,1.00900185,0.963164902,1.085327985
Commercial,MDP,GLM,matRRlow,0.9336621,0.960438965,0.880164112,0.985892638,0.85291982,0.916622066,0.871101136,0.994576251
Commercial,MDP,GLM,matRRhigh,1.111196942,1.170240958,1.065119287,1.187024259,1.029271657,1.110691931,1.064958578,1.184360509
Commercial,SUB,GLM,matRRfit,1.207641602,0.899164266,1.079879288,1.04822832,0.787502642,1.075512474,1.035625386,1.174254497
